Year;Date;Month;Region;Ocurrence
1985;01-01-1985;JULIO;III;0
1985;01-01-1985;JULIO;IV;0
1985;01-01-1985;JULIO;V;0
1985;01-01-1985;JULIO;RM;0
1985;01-01-1985;JULIO;VI;0
1985;01-01-1985;JULIO;VII;0
1985;01-01-1985;JULIO;VIII;0
1985;01-01-1985;JULIO;IX;0
1985;01-01-1985;JULIO;XIV;0
1985;01-01-1985;JULIO;X;0
1985;01-01-1985;JULIO;XI;0
1985;01-01-1985;JULIO;XII;0
1985;01-01-1985;AGOSTO;III;3
1985;01-01-1985;AGOSTO;IV;0
1985;01-01-1985;AGOSTO;V;0
1985;01-01-1985;AGOSTO;RM;0
1985;01-01-1985;AGOSTO;VI;0
1985;01-01-1985;AGOSTO;VII;0
1985;01-01-1985;AGOSTO;VIII;0
1985;01-01-1985;AGOSTO;IX;0
1985;01-01-1985;AGOSTO;XIV;0
1985;01-01-1985;AGOSTO;X;0
1985;01-01-1985;AGOSTO;XI;0
1985;01-01-1985;AGOSTO;XII;0
1985;01-01-1985;SEPTIEMBRE;III;3
1985;01-01-1985;SEPTIEMBRE;IV;0
1985;01-01-1985;SEPTIEMBRE;V;0
1985;01-01-1985;SEPTIEMBRE;RM;0
1985;01-01-1985;SEPTIEMBRE;VI;0
1985;01-01-1985;SEPTIEMBRE;VII;0
1985;01-01-1985;SEPTIEMBRE;VIII;0
1985;01-01-1985;SEPTIEMBRE;IX;0
1985;01-01-1985;SEPTIEMBRE;XIV;0
1985;01-01-1985;SEPTIEMBRE;X;0
1985;01-01-1985;SEPTIEMBRE;XI;4
1985;01-01-1985;SEPTIEMBRE;XII;0
1985;01-01-1985;OCTUBRE;III;0
1985;01-01-1985;OCTUBRE;IV;0
1985;01-01-1985;OCTUBRE;V;0
1985;01-01-1985;OCTUBRE;RM;2
1985;01-01-1985;OCTUBRE;VI;0
1985;01-01-1985;OCTUBRE;VII;0
1985;01-01-1985;OCTUBRE;VIII;0
1985;01-01-1985;OCTUBRE;IX;0
1985;01-01-1985;OCTUBRE;XIV;0
1985;01-01-1985;OCTUBRE;X;0
1985;01-01-1985;OCTUBRE;XI;3
1985;01-01-1985;OCTUBRE;XII;0
1985;01-01-1985;NOVIEMBRE;III;2
1985;01-01-1985;NOVIEMBRE;IV;7
1985;01-01-1985;NOVIEMBRE;V;103
1985;01-01-1985;NOVIEMBRE;RM;69
1985;01-01-1985;NOVIEMBRE;VI;2
1985;01-01-1985;NOVIEMBRE;VII;12
1985;01-01-1985;NOVIEMBRE;VIII;41
1985;01-01-1985;NOVIEMBRE;IX;5
1985;01-01-1985;NOVIEMBRE;XIV;1
1985;01-01-1985;NOVIEMBRE;X;2
1985;01-01-1985;NOVIEMBRE;XI;8
1985;01-01-1985;NOVIEMBRE;XII;4
1985;01-01-1985;DICIEMBRE;III;0
1985;01-01-1985;DICIEMBRE;IV;8
1985;01-01-1985;DICIEMBRE;V;358
1985;01-01-1985;DICIEMBRE;RM;214
1985;01-01-1985;DICIEMBRE;VI;48
1985;01-01-1985;DICIEMBRE;VII;35
1985;01-01-1985;DICIEMBRE;VIII;160
1985;01-01-1985;DICIEMBRE;IX;43
1985;01-01-1985;DICIEMBRE;XIV;21
1985;01-01-1985;DICIEMBRE;X;38
1985;01-01-1985;DICIEMBRE;XI;51
1985;01-01-1985;DICIEMBRE;XII;10
1985;01-01-1985;ENERO;III;0
1985;01-01-1985;ENERO;IV;6
1985;01-01-1985;ENERO;V;466
1985;01-01-1985;ENERO;RM;185
1985;01-01-1985;ENERO;VI;63
1985;01-01-1985;ENERO;VII;81
1985;01-01-1985;ENERO;VIII;205
1985;01-01-1985;ENERO;IX;100
1985;01-01-1985;ENERO;XIV;66
1985;01-01-1985;ENERO;X;85
1985;01-01-1985;ENERO;XI;18
1985;01-01-1985;ENERO;XII;11
1985;01-01-1985;FEBRERO;III;4
1985;01-01-1985;FEBRERO;IV;21
1985;01-01-1985;FEBRERO;V;337
1985;01-01-1985;FEBRERO;RM;111
1985;01-01-1985;FEBRERO;VI;80
1985;01-01-1985;FEBRERO;VII;86
1985;01-01-1985;FEBRERO;VIII;484
